No.,Listing,Bedroom,Bathroom,Garage,Carport,Kitchen,Dining Room,Living Room,Maid's Room,Maid's Bathrrom,Bulding Area(m^2),Land Area(m^2),Furnished,Condition,Year Built,Price(millions Rp)
194,Rumah Strategis Murah Di Kawasan Menteng Jakarta Pusat,12,6,8,0,1,1,1,2,1,619,947,No,Need Renov,2000,39000
195,Rumah Premium Cempaka Putih 260m² Murah,4,4,1,1,1,1,1,1,1,300,260,Yes,Old,2014,6500
196,Rumah Bergaya Bali Di Menteng,6,4,6,0,1,1,1,2,1,1200,717,No,Old,2010,60000
197,"Rumah Lama Di Menteng,Lokasi Nyaman,Rumah Waris,Bisa Dirobihin dan Dibangun lagi",4,3,3,3,1,0,0,1,1,500,814,No,Need Renov,1970,58000
198,Rumah siap huni lokasi Strategis..cideng Area..cck Hunian..dekat Musi..tanah abang..cideng raya..tomang raya..roxy..biak..,3,2,0,2,1,0,0,0,0,200,254,No,Old,2000,6800
199,"Rumah Cantik 3,5 Lantai Komplek Bendungan Hilir Jakarta Pusat",4,3,2,2,1,0,0,2,1,450,234,No,Old,2010,14000
200,Rumah Jl.yusuf Adiwinata Menteng Cocok Untuk Usaha Kantor Siap Pakai Selangkah Dari Plataran Menteng Jakarta Pusat,15,9,15,0,0,0,0,0,0,1500,662,Semi,Old,2010,80000
201,"Rumah Lawas di Cempaka Putih Tengah, Lt,296,lb.150 Dki Jakarta",5,2,0,3,1,1,1,1,1,150,296,No,Need Renov,2000,5400
202,Rumah Mewah Cempaka Putih Lokasi Strategis Semi Furnished,9,7,5,0,1,0,0,0,0,600,375,Semi,Old,1999,9500
203,"Rumah Siap Huni, Terawat di Lingkungan Tenang dan Asri di Cempaka Putih Jakarta Pusat 2 Lantai SHM hadap Timur Bebas Banjir Lokasi Strategis dekat Akses Jalan Tol IMB Lengkap #rinagpkg",7,9,3,5,1,1,1,0,0,600,378,Semi,Old,1999,9500
204,Jarang Ada!!! Rumah dekat Taman Suropati Menteng,4,3,2,2,2,1,1,2,1,600,1000,Semi,Need Renov,1990,125000
205,Rumah harga NJOP di Hasyim Ashari jakarta pusat,4,2,0,1,0,0,0,1,0,120,184,No,Old,1995,4800
206,"Rumah Jalan Kramat Raya Cocok Untuk Kost, Kontrakan Jakpus",2,2,0,2,0,0,0,0,0,80,148,Yes,Old,2014,2800
207,Hunian nyaman modern indus di Jalan industri 2 gunung Sahari Jakarta pusat,2,2,0,0,1,1,1,0,0,47,24,No,New,2024,620
208,Rumah 1 Lantai Cocok Bangun Ulang Komplek Cideng Jakpus,3,1,0,1,0,0,0,0,0,100,144,No,Need Renov,2001,3500
209,Bu Rumah 2 Lantai Asri Dan Nyaman Benhil Jakarta Pusat,5,4,0,1,1,0,0,1,0,250,119,No,Old,2004,4500
210,Rumah Murah di Menteng Harus Terjual,5,3,2,2,1,1,1,1,1,500,720,No,Old,1970,42000
211,Rumah Cempaka Putih Komplek Pertamina Lokasi Strategis,5,3,2,2,1,0,0,2,1,282,382,Semi,Old,2011,9200
212,Rumah Lama di Salemba Cocok Dibangun Gedung Kantor,4,3,1,3,2,1,1,2,1,600,820,No,Need Renov,1980,30000
213,Rumah Lama Asri di Lokasi Tenang,4,3,2,2,2,1,1,1,1,400,542,Semi,Old,1980,51000
214,Rumah Mewah Modern di Cempaka Putih Jakarta Pusat,3,3,1,1,1,1,1,1,1,94,53,No,Old,2023,2280
215,Rumah asri kokoh private pool siap huni di Menteng,4,3,2,2,2,1,1,2,1,500,649,Semi,Old,2009,42000
216,Di jual Rumah mewah murah lokasi strategis dekat Mangga dua square,2,2,0,1,1,0,0,1,1,82,49,No,Old,2023,1030
217,"Rumah Daerah Cideng, Good Things, and Verry Comfortable For Live!",4,4,2,0,1,1,1,0,0,550,200,Yes,Old,2019,7200
218,Dijual Rumah Cideng Barat Jakarta Pusat LT 262m2,4,3,2,2,1,1,1,1,1,252,262,Semi,Old,2015,7500
219,Rumah Tua Jalan Bojonegoro Menteng Jual Cepat,4,3,0,2,1,1,1,1,1,900,555,No,Need Renov,2000,20000
220,Jual Rumah Metland Menteng LT 185 LB 160 3KT & 2KM Hook Bagus,3,2,0,0,1,1,1,0,0,160,185,No,Old,2010,2150
221,"Rumah kebon kacang , turun harga!",5,8,1,1,1,1,1,1,1,800,492,Semi,Old,2012,18500
222,Ruko Petojo 4 Lantai. 4x25. Jalan 2 Mobil. Siap Huni,,3,1,0,1,1,1,0,0,200,97,No,Need Renov,2000,4500
223,Rumah Mewah 2 Lantai Posisi Hoek di tengah kota,4,4,1,2,1,1,1,1,1,542,371,No,Old,2015,9900
224,"Rumah Di Gg Palaud, Sangaji, Cideng",4,2,0,0,0,0,0,0,0,96,32,No,Old,1980,550
225,Rumah di Cideng SHM Bagus luas 256 m2,4,4,0,2,1,1,1,1,1,170,256,No,Old,2000,8000
226,"Rumah Lama Area Petojo, 900 Meter Ke Itc Roxy Mas",5,3,0,2,1,1,1,1,0,400,251,No,Old,1994,6380
227,Rumah Minimalis Harga Mulai 300jutaan Ramah Bi Chceking,2,1,1,1,1,1,1,0,0,36,66,No,New,2024,321
228,Rumah SHM di Kebon kacang Bagus,3,2,1,1,1,1,1,1,1,105,83,No,Old,2010,3500
229,Rumah 4 Lantai . Split Level. Kondisi Sangat Bagus Dengan Material Bangunan Yang Terpilih. Sangat Siap Dipergunakan Sesuai Keinginan.,4,4,2,3,1,0,0,2,2,600,518,Semi,Old,2012,39800
230,"Rumah Bagus di Laksana Sawah Besar 3 Lantai, Nego",3,3,0,1,1,1,1,1,1,250,90,Semi,Old,2017,2600
231,harganjop Rumah Lama 1 Lantai Cocok Untuk Kost Rumah Tinggal Kantor Dekat Kfc Cideng Timur,3,1,0,1,1,1,1,0,0,80,93,No,Old,1990,2700
232,"di HARUS TERJUAL. WILAYAH KOMERSIAL SANGAT AKTIF, SEKELILING HOTEL BINTANG 4, REDTOP LUMINOR, Jl. Pecenongan ",5,2,5,5,1,1,1,1,1,275,300,No,Old,2000,11900
233,"Rumah Tua Murah Hit Tnh di Jl Harapan Jaya, Cempaka Baru",1,1,0,1,1,0,0,0,0,300,334,No,Need Renov,2012,5500
234,Jual Murah Bu Omset 576 Juta Per Thn Kosan Kwitang Senen Jakpus,24,24,1,2,1,0,0,0,0,522,261,Yes,Old,2015,6850
235,Rumah Lama Hitung Tanah Dekat Grand Cemara Hotel,3,1,0,2,1,1,1,0,0,100,391,No,Need Renov,1970,23800
236,Rumah Bali sytle (+ invest kost jakarta pusat),12,13,1,0,1,1,1,0,0,275,151,Yes,Old,2018,4800
237,Rumah Siap Huni 3 Lantai Dekat Menteng Park,5,4,4,2,2,1,1,1,1,450,276,No,Old,2016,27000
238,Rumah mewah 2 Lantai di johar baru dekat dengan pasar johar baru,7,6,2,1,1,1,1,1,1,390,285,Semi,Old,2003,6600
239,Rumah Bagus di Kemayoran Jakarta Pusat lt 247 m Bagus,5,5,1,1,1,1,1,1,0,371,247,No,Old,2008,3800
240,Rumah Asri Cantik di Cempaka Putih Hoek Langka Nego,7,4,1,3,1,1,1,2,1,850,550,Semi,Old,1993,17000
241,Ruko Ketapang Gajah Mada. 5 Lantai. 5x16.6. Jalan 3 Mobil. Siap Huni,4,4,1,0,1,1,1,1,1,300,75,No,Old,2010,3900
242,Jual Cepat Rumah Siap Tinggal Dihoek Dengan Muka Rumah Jalan 3 Mobil Rumah,4,3,5,2,1,1,1,1,1,600,598,Semi,Old,2000,17500
243,"Rumah Lama Area Menteng Harga di Bawah Pasar, Murah..",8,4,1,2,1,1,1,1,1,400,543,No,Need Renov,1995,26000
244,Dijual Rumah Tua Strategis Bisa Usaha di Cempaka Putih Jakarta Pusat,4,3,3,3,1,1,1,0,0,300,604,No,Need Renov,2010,8000
245,HITUNG TANAH Rumah HOOK di petojo selatan gambir jakpus,3,1,2,0,1,1,1,0,0,200,310,No,Need Renov,1999,8650
246,Jual Cepat Murah Rp 8M Lt 291 Lb 255 Jl. Talang Menteng,4,3,1,1,1,1,1,2,1,255,291,No,Old,2000,8000
247,"Dijual Rumah sakura Samping grand duta city, Hubungi 08118881488",3,1,0,2,0,1,1,0,0,90,154,No,Old,2016,670
248,"Dijual Rumah di Menteng Cikini Komersial, Strategis Utk Bisnis",5,5,2,2,2,1,1,2,2,700,2980,No,Need Renov,2001,175000
249,Rumah Menteng Murah Kusuma atmaja Bagus terawat siap huni bebas banjir,6,4,2,2,1,1,1,1,1,850,630,No,Old,2015,57500
250,Rumah Murah 3 Lantai Lokasi Strategis Pinggir Jalan,3,3,1,1,1,1,1,0,0,82,49,No,New,2024,1140
251,Rumah Kemayoran 15x11 @ Komplek Angkasa Pura,3,3,2,1,1,1,1,1,1,345,172,No,Old,2014,5250
252,Rumah ASRI KOKOH LUAS di Johar Baru Jakarta Pusat,7,6,2,1,1,0,0,1,1,390,285,Semi,Old,2003,6600
253,Brand News Luxurious House American Modern Classic Fully Furnished,4,4,2,6,2,1,1,2,1,1388,474,Yes,New,2022,67000
254,"Rumah 2 Lantai Siap Huni, di Kramat, Senen Jakarta Pusat",5,3,3,3,2,1,1,1,1,450,301,Semi,Old,1980,14900
255,"Rumah Lt 224 M2 di Krekot , Pasar Baru , Jakarta Pusat Murah",5,5,4,0,1,1,1,0,0,410,224,Yes,Old,2017,7000
256,"Rumah Baru Lt 60 M2 di Sumur Batu Kemayoran , Jakarta Pusat",4,3,1,0,1,1,1,0,0,80,60,Semi,New,2022,1700
257,Rumah Menteng Bagus Murah terawat Jalan lembang siap hini,5,4,2,2,1,1,1,2,1,660,490,No,Old,2010,45000
258,Dijual Rumah Elegan dan Strategis di Percetakan Negara Johar Baru Jakarta Pusat,4,5,0,2,1,1,1,1,1,300,200,No,Old,2018,3800
259,Rumah dan kost -kosan lokasi strategis jl danau buyan Benhil,16,8,1,1,1,1,1,1,1,450,191,Semi,Old,2013,9500
260,Di Jual Rumah Modern Classic di Cempaka Putih Jakarta Pusat,4,7,4,4,1,1,1,2,1,1000,842,No,New,2022,32000
261,Rumah Elit Design Classic di Cempaka Putih Jakarta Pusat,4,3,0,1,1,1,1,1,1,256,193,No,New,2024,6500
262,Rumah Baru Design Modern di Cempaka Putih Jakarta Pusat,4,4,1,2,1,0,0,1,1,280,180,No,New,2023,7250
263,Non.568 Rumah Kos Hoki 4.5 Lantai Mangga Besar Jakarta Barat,13,13,4,0,0,0,0,0,0,873,282,Yes,Old,2018,6000
264,Non.557 Rumah Kos an 3 Lantai jakarta Barat,31,32,1,0,0,0,0,0,0,660,314,Yes,Old,2015,6000
265,"Rumah Lama Hitung Tanah, Lokasi Sangat Strategis Di Tengah Kota",4,2,0,4,1,0,0,1,1,563,750,No,Need Renov,1990,45000
266,"Bagus Semi Furnished di Bendungan Hilir , Jakarta Pusat",5,4,2,2,1,0,0,3,1,230,400,Semi,Old,2017,18000
267,"Rumah Strategis Akses Jalan 4 Arah di Cempaka Putih Tengah 25 Dekat Rsij,yarsi,10 Menit Tol",4,4,1,0,1,1,1,1,1,111,80,No,New,2023,3440
268,"Dijual Rumah Cempaka Putih Dekat Atrium,tamsol Hanya 5 Menit Tol",3,3,1,1,1,1,1,1,1,101,51,No,New,2024,1830
269,rumah menteng di hos cokroaminoto menteng jakarta pusat 3 Lantai Sudah Renovasi HGB,26,20,10,0,1,1,1,2,2,3000,1663,Yes,Old,1990,150000
270,Dijual Murah Kost kostan di Kwitang Senen Jakarta Pusat,12,12,1,2,0,0,0,0,0,150,150,No,Old,2020,1500
271,"Rumah Murah Percetakan Negara Dekat Yarsi ,3lt Ada Kolam Renang",3,3,1,1,1,1,1,0,0,73,25,No,New,2024,1010
272,"Rumah Murah 3lt Ada Kolam Renang di Percetakan Negara Dekat Arcici,gps",3,3,1,1,1,1,1,0,0,88,30,No,New,2024,1190
273,Rumah 3 Lantai Bagus Ada Kolam Renang Dekat Evasari Hanya 5 Menit Tol,3,3,1,1,1,1,1,0,0,104,35,No,New,2024,1400
274,Rumah mewah di Springhill kemayoran,5,5,4,4,1,1,1,3,2,1200,746,Yes,Old,2012,28000
275,Rumah Tua Hitung Tanah di Batu Tulis Jakarta Pusat,2,2,0,0,1,1,1,1,1,127,127,No,Old,1920,2300
276,"Rumah Kos di Jakarta Pusat, Strategis 3 Mnt Dr Stasiun Kramat",31,18,0,0,1,1,1,1,1,520,185,Semi,Old,2006,5000
277,Dijual rumah lokasi strategis kertasono menteng luas 970 meter jarang ada,5,5,2,2,1,1,1,2,1,488,970,Semi,Old,2010,80000
278,Rumah 1 lantai di petojo jakarta pusat,4,2,0,1,1,1,0,0,0,125,150,No,Old,2013,2300
279,Rumah Kos 15 kamar Benhil,15,15,1,0,1,0,0,0,0,300,130,No,New,2023,4950
280,Turun Harga Rumah Siap Huni Hitung Tanah Saja Nempel Glora Bung Karno Jakpus,5,4,4,0,1,1,1,1,1,300,283,Yes,Old,2017,12000
281,Dijual Cepat Rumah Bagus Lokasi Strategis di Jantung Kota,6,6,5,4,3,1,1,2,2,1500,1500,Semi,Old,2000,300000
282,RUMAH JAKARTA PUSAT LOKASI STRATEGIS DI CEMPAKA PUTIH NYAMAN BENAS BANJIR,5,2,1,2,1,1,1,1,0,220,260,Yes,Old,2000,8500
283,"Luxury brand Menteng area , new house 2 lantai , rooftop & spool dan taman luas",4,4,4,6,2,1,1,2,1,1000,878,No,New,2023,99500
284,Rumah 2 Lantai di Cempaka Putih Unfurnished Area Perumahan,7,5,1,2,1,1,1,1,1,250,200,No,Old,1990,5800
285,Rumah Tua Hitung Tanah di Gunung Sahari Lebar 2 Mobil Dijualcepat,2,2,0,1,1,0,0,0,0,70,50,No,Need Renov,1999,900
286,"Kolam ikan,ruang karaoke, bagus dan rapih,furnish,jarang ada,Kartini",4,3,1,3,1,1,1,1,1,440,300,Yes,Old,2012,6000
287,Rumah 2 lantai di jln biduri sumur batu jakpus,3,2,1,1,1,1,1,1,1,300,247,No,Old,1992,5350
288,Rumah 2 lantai d area komersiil jl Kota Bumi,4,3,1,2,1,1,1,1,1,250,237,No,Old,2013,35000
289,Rumah Bagus 2 Lantai SHM Murah Cempaka Putih Jakarta Pusat,3,3,0,2,1,1,1,1,1,146,139,Semi,Old,2013,2990
290,"Cluster Mp Bintaro Jalan Kaki Ke Stasiun Sudimara Dekat Toll, Mall Bxc",2,1,0,1,1,1,1,0,0,65,60,No,New,2023,899
291,Dijual Rumah Hitung Tanah di Kepu Kemayoran Jakarta utara,4,1,0,0,1,1,1,0,0,160,204,No,Need Renov,2010,2500
292,Rumah 2 Lantai di Cempaka Putih Bagus Dan Siap Huni,7,5,1,2,1,1,1,1,1,270,200,No,Old,2000,5800
293,Termurah di Jl Kawi-kawi Ananda Town House Johar Baru Jakarta Pusat,4,2,2,1,1,1,1,1,1,100,89,Yes,Old,2019,1050
294,Rumah Bagus Hook Cempaka Putih,7,5,3,2,2,1,1,1,1,389,464,No,Old,2017,15000
295,Rumah secondary Siap Huni Area Menteng Jakarta Pusat,8,5,2,2,2,1,1,0,0,650,1070,No,Old,2022,49000
296,Dijual Rumah Standard Di Kramat Kwitang Senen Lt 175 Lokasi Strategis Hrg Bagus Jarang Ada,2,2,0,1,1,0,0,1,1,204,175,No,Old,1990,2800
297,Rumah 2 Lantai Usaha Kost di Kemayoran Lokasi Strategis,20,20,0,2,1,1,1,0,0,320,126,No,Old,2000,4500
298,Rumah Area Cempaka Putih Hitung Tanah Akses strategis,6,2,2,2,1,1,1,0,0,150,206,No,Need Renov,2000,4350
299,Rumah Kos 3 lantai di Tengah Kota jakarta,12,8,0,0,1,0,0,0,0,170,88,No,Old,2020,2900
300,"Rumah Bagus Strategis, Kramat Area, Ex klinik",5,4,4,2,1,1,1,1,1,600,440,Semi,Old,2010,16000
301,Dijual Rumah hitung tanah saja harga dibawah NJOP @Tanah Abang Jakpus,8,4,0,5,1,1,1,0,0,225,300,No,Need Renov,2000,10000
302,Rumah siap huni di Johar baru,5,2,0,0,1,0,0,0,0,80,109,No,Old,2000,2100
303,Hunian Mewah Dan Elegant Area Premium Menteng Jakarta Pusat,12,10,3,6,2,1,1,0,0,1585,985,Semi,Old,2018,65000
304,Rumah kost produktif dilokasi strategis kemayoran harga mendekati NJOP,20,20,2,0,1,0,1,1,1,380,218,Yes,Old,2000,3700
305,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat",4,4,1,1,1,1,1,1,1,303,148,No,Old,2022,5900
306,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat",6,5,1,1,1,1,1,0,0,350,288,No,Old,2022,6500
307,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat",6,5,1,1,1,1,1,0,0,200,144,No,Old,2022,5900
308,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat",3,2,0,2,1,1,1,0,0,200,209,No,Old,2023,4000
309,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat",14,5,0,0,1,1,1,1,1,400,200,No,Old,2022,3500
310,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat",4,4,2,1,1,1,1,1,1,271,513,No,Old,2022,13500
311,"Rumah Cempaka Putih Indah Cempaka Putih, Jakarta Pusat",4,3,2,1,1,1,1,1,1,125,155,Semi,Old,2022,3100
312,Rumah Kost 3 1/2 Lt Di Cideng,13,7,0,0,2,1,1,1,0,233,76,No,Old,2000,3500
313,Rumah Tua Layak Huni Harga Dibawah NJOP di Cempaka Putih Jakarta Pusat Hadap Barat Laut & Timur 1 Setengah Lantai SHGB Luas 601 m² #owen,5,3,2,2,1,1,1,1,1,325,601,No,Need Renov,2005,12500
314,Murah Di Bawah Njop Rumah Hitung Tanah Jl Angkasa 1 Kemayoran Lt 259 M2,3,1,0,1,1,1,1,1,1,100,259,No,Need Renov,2000,3800
315,"Rumah Jl. Cempaka Putih Tengah, Jakarta Pusat",5,5,2,4,1,1,1,4,2,800,650,Semi,Old,2019,17000
316,Rumah Cempaka Putih Timur Jakarta Pusat,4,3,2,0,1,1,1,1,0,350,360,Semi,Old,2019,9500
317,Rumah Cempaka Putih Timur Jakarta Pusat,3,2,1,3,1,1,1,1,1,229,229,Semi,Old,2021,5500
318,"Rumah Cempaka Putih Tengah Cempaka Putih, Jakarta Pusat",4,3,0,2,1,1,1,0,0,304,203,Semi,Old,2022,6500
319,"Rumah Cempaka Putih Tengah Cempaka Putih, Jakarta Pusat",7,5,0,4,1,1,1,0,0,340,500,No,Old,2022,11000
320,"Rumah Cempaka Putih Tengah Cempaka Putih, Jakarta Pusat",4,3,0,2,1,1,1,0,0,130,96,No,Old,2023,3000
321,"Rumah Rawa Sari Timur Cempaka Putih, Jakarta Pusat",6,4,0,0,1,1,1,0,0,250,150,No,Old,2023,5300
322,"Rumah Cempaka Putih Tengah Cempaka Putih, Jakarta Pusat",5,2,0,2,1,1,1,0,0,150,209,No,Old,2023,4590
323,"Rumah Jl. Mardani Raya Cempaka Putih, Jakarta Pusat",5,4,3,3,1,1,1,2,1,390,550,No,Old,2023,7750
324,Rumah Menteng probolinggo murah hitung Tanah bebas banjir,3,3,1,2,1,1,1,1,1,300,556,No,Need Renov,2000,26000
325,"Harga Bagus Sekali, Rumah Klasik di K.I.Mangunsarkoro,Menteng,Jakarta Pusat",7,7,3,7,2,1,1,2,2,1200,717,No,Old,2010,38500
326,For Sale Rumah Mewah Menteng Jakarta Fully Furnished Prime Location,4,5,2,3,2,1,1,2,2,1200,474,Yes,Old,2017,67000
327,"Rumah Jl. Cempaka Putih Raya Cempaka Putih, Jakarta Pusat",8,8,0,3,1,1,1,3,3,1020,447,No,Old,2021,20000
328,"Rumah Cempaka Putih Timur Cempaka Putih, Jakarta Pusat",5,5,2,2,1,1,1,2,1,1000,750,No,Old,2022,25000
329,Dijual Hitung Tanah Bonus Rumah Lokasi SALEMBA Cocok Buat Kostan,6,4,0,1,1,1,1,1,1,250,200,Semi,Old,1991,3950
330,"Dijual Kost-an 10 Kamar Lokasi di Bendungan Hilir, Jakarta pusat",11,6,0,2,2,1,1,1,1,300,200,Semi,Need Renov,1985,16700
331,Rumah baru bergaya eropah 3 lantai di Jl. Raya rawasari jembatan serong percetakan negara jakarta pusat samping mall GPS,2,2,1,1,1,1,1,0,0,88,30,No,New,2023,890
332,Rumah di cempaka putih tengah 2 Lantai SHM,5,3,1,0,2,1,1,1,1,500,300,Yes,Need Renov,1995,8500
333,Jual rumah gede Jl Cempaka putih jakpus 5 Lantai owuukokoeeni,6,7,0,8,0,1,1,0,0,650,390,No,Old,2000,35000
334,Rumah Mewah di Menteng Jakarta Pusat SHM,7,8,4,2,1,1,1,2,1,548,733,Semi,Old,2011,55000
335,Dijual Rumah Krekot Pasar Baru Dengan Luas 131m Hadap Barat Harga Nego,4,2,0,2,1,0,0,0,0,193,131,No,Need Renov,2003,2900
336,"Dijual rumah 2lt di Cideng Barat, uk 11x26m2, jalan 1 mobil, Harga Rp 10M",4,4,0,2,0,0,0,0,1,384,286,No,Old,2015,10000
337,hitung tanah cocok bangun kost petojo jakarta pusat murah,2,2,0,0,0,0,0,0,0,66,71,No,Need Renov,1999,1000
338,Dijual Rumah Tua Komplek Permata Angkasa Kemayoran Luas 243 M2 Lokasi Strategis Hitung Tanah Harga Menarik,3,2,0,1,1,0,0,0,0,183,243,No,Need Renov,1990,4500
339,Rumah Bagus 2 lantai di Jalan keadilan dalam 1 lokasi strategis bebas banjir Jakarta pusat,2,2,0,0,1,1,1,0,0,42,27,No,New,2024,504
340,Rumah dijual 2 Lantai di Jl keadilan SHM,2,1,0,0,1,1,1,0,0,37,29,No,New,2023,640
341,Dijual Rumah Mewah 3 Lantai di Lokasi Strategis Cempaka Putih Jakarta Pusat,2,3,0,1,1,1,1,1,1,68,45,No,Old,2022,1600
342,Rumah asri bagus di belakang taman solo dan universitas Yarsi Jakarta pusat,2,3,1,1,1,1,1,1,0,101,51,No,New,2023,1830
343,"Rumah Bagus Unfurnished di Pejompongan , Jakarta Pusat",4,5,2,2,0,1,1,1,1,230,400,No,Old,2017,18000
344,Dijual Kost Exclusive Baru di Tanah Abang Pusat Kota Jakarta,32,32,5,5,1,1,1,1,1,506,106,Yes,Old,2009,12700
345,Rumah baru 2lantai di Jl. Cempaka putih tengah 2E jakarta pusat,2,2,1,1,1,1,1,1,1,68,40,No,New,2023,1360
346,Area Komersil Pejompongan Raya Bisa Untuk Kantor/Usaha RSA122102,6,5,2,3,1,1,1,0,0,300,450,No,Need Renov,1955,23500
347,Rumah Kokoh Luas Strategis Premium Di Penjernihan Benhil Jakarta Pusat,8,5,1,1,2,1,1,3,1,650,520,Semi,Old,1995,17000
348,Rumah cantik siap huni di menteng,4,3,2,4,1,1,1,1,1,600,390,Semi,Old,2012,35000
349,Rumah mewah di Cideng Jakarta Pusat,5,4,1,1,2,1,0,1,1,350,200,Semi,Old,2015,7800
350,Rumah Bagus Via Lelang Dalam Komplek di Kemayoran Jakpus,4,4,1,1,1,0,0,1,0,250,247,No,Old,2010,4200
351,DIJUAL CEPAT Rumah Golf Residence Kemayoran Jakarta Utara,4,3,3,0,1,0,1,1,1,265,423,No,Old,2014,11000
352,Jual Murah Rumah Townhouse Springhill 10x30 Golf View,4,6,3,3,2,1,1,1,1,530,300,Yes,Old,2018,11000
353,Turun Harga Rumah Di Cideng Lebar 9 Lokasi Komplek,3,1,0,1,1,1,1,1,0,100,162,No,Need Renov,2010,3950
354,"Rumah Jl. Mangga Besar Raya Sawah Besar, Jakarta Pusat",6,6,0,2,1,1,1,1,0,528,225,Yes,Old,2022,11500
355,"Rumah Blossom R. Kemayoran, Jakarta Pusat",4,5,4,0,1,1,1,3,1,405,270,No,Old,2020,10000
356,"Rumah 3 Lantai dekat pusat kota, mall, rekreasi Ancol dan Perkantoran",6,3,0,0,1,0,0,0,0,150,60,No,New,2022,1200
357,Rumah Dijual di Cempaka Putih Hitung Tanah Saja Nego Sampe Deal,4,2,0,2,1,1,1,0,0,106,325,No,Need Renov,2000,3800
358,Rumah Cideng Petojo. 2.5 Lantai. 10x24. Jalan 2 Mobil. Siap Huni,4,3,2,0,1,1,1,1,1,250,242,No,Old,2000,3850
359,Rumah Tua Cideng Petojo. 12x12. Jalan 2 Mobil,3,2,1,0,1,1,1,0,0,100,144,No,Need Renov,2000,3300
360,Rumah 2 Lantai Dalam Kompleks Elit Cempaka Putih,2,2,0,1,1,1,1,1,1,72,52,Semi,Old,2021,1790
361,New Rumah Mewah di Cempaka Putih 2 Lantai SHM Baru,4,3,0,2,1,0,0,1,2,256,193,No,New,2024,6500
362,Dijual Rumah Di Cempaka Putih Timur Jakpus Lokasi Strategys,4,1,1,1,1,1,1,1,1,139,100,No,Old,2000,2500
363,"Jual Kos Kosan At Benhil Bangunan Baru 18 Kamar,harga 22.5 Milyar",18,18,0,8,1,1,1,0,0,450,300,Semi,Old,2022,22500
364,Rumah kost 34 kamar omset manis dijakpus,34,34,2,0,0,0,0,4,2,800,242,Yes,Old,2016,10500
365,"Dijual rumah Menteng, bagus siap huni, lokasi Premium",5,3,6,0,1,1,1,2,1,1200,712,No,Old,2010,69500
366,Rumah 2 Lantai SHM Sudah Renovasi hadap Timur di Jln Meteng raya,3,5,5,10,2,1,1,2,2,1050,1189,Semi,Old,2015,120000
367,Rumah murah mini cluster di percetakan negara,2,2,0,0,1,1,1,0,0,40,20,No,New,2024,360
368,Di Jual Rumah 3 lantai di Cempaka Putih dekat Starvision,2,2,1,1,1,1,1,0,0,80,54,No,New,2023,1650
369,Dijual Murah Rumah Mewah Turun Harga Strategis Di Johar Baru,6,5,2,1,1,0,0,1,1,390,289,No,Old,2003,6600
370,Dibawah pasar Rumah kost /rukan Jl krekot bunder raya pasar baru jakarta pusat,7,2,3,3,1,1,1,2,2,330,65,No,Old,2018,3250
371,Rumah dijual di kemayoran jakarta pusat jl intan raya,4,3,1,1,2,1,1,1,1,350,293,No,Need Renov,2000,4980
372,Rumah dijual griya agung permai kemayoran jakarta pusat,3,3,1,2,2,1,1,1,1,268,185,No,Old,2009,2410
373,Rumah dijual di cempaka putih barat jakarta pusat,4,3,2,2,2,1,1,0,2,600,422,No,Need Renov,1995,5980
374,Rumah dijual di petojo selatan gambir jakarta pusat,4,2,2,2,2,1,1,2,2,600,418,No,Old,2009,13500
375,Rumah dijual di petojo selatan gambir jakarta pusat,4,4,2,2,2,1,1,2,2,600,371,No,Need Renov,2000,8500
376,Rumah dijual di jl kramat VI kenari senen jakarta pusat,5,4,2,2,1,1,1,2,2,900,702,No,Need Renov,2000,25000
377,Rumah dijual di cikini menteng jakarta pusat hanya hitung tanah,10,10,1,2,1,1,1,1,1,321,282,No,Need Renov,2000,51500
378,Rumah dijual murah di menteng jakarta pusat jl cut nyak dien,5,3,2,4,2,1,1,0,2,955,1078,No,Need Renov,2000,46400
379,Rumah 3 Lantai Siap Huni Murah Di JL Danau Tondano Benhil Jakpus,5,3,2,2,1,1,1,1,1,355,269,Semi,Old,2011,9900
380,Rumah Mewah Siap Huni Di Jalan Sabangan Petojo Jakarta Pusat,5,4,2,2,1,1,1,1,1,520,371,Semi,Old,2012,8500
381,Rumah Mewah Siap Huni Di JL Cimahi Menteng Jakarta Pusat,5,4,2,2,1,1,1,1,1,1134,810,Semi,Old,2012,50000
382,Rumah 3 Lantai di Jalan Kartini Raya Sawah Besar Jakarta Pusat,5,4,1,1,1,1,1,1,1,550,271,Semi,Old,2010,5500
383,Rumah Dilelang di Petojo Jakarta Pusat Dekat Tomang,4,3,0,2,1,0,1,1,1,190,207,No,Need Renov,2015,3850
384,Rumah Minimalis di Daerah Kramat Johar Baru Jakarta Pusat,4,3,1,1,1,1,1,1,1,300,273,No,Old,2015,6000
